County,Precinct,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDJAN,G20USSRSAS,G20USSLSIA
Richardson,Arago/Barada,51,154,4,29,158,9
Richardson,FCRural/Ohio,42,243,2,35,230,10
Richardson,FC Ward 1,186,421,5,123,447,27
Richardson,FC Ward 2,119,367,7,80,360,22
Richardson,FC Ward 3,128,345,2,89,337,17
Richardson,FC Ward 4,118,223,7,87,216,16
Richardson,Fran/Hrr/Spi,36,171,4,22,170,9
Richardson,Grant Nemaha,43,159,6,23,143,18
Richardson,Humboldt I,44,137,2,30,141,6
Richardson,Humboldt II,52,148,3,31,156,10
Richardson,Jefferson/Rulo,49,211,3,42,196,15
Richardson,Liberty,27,130,3,23,121,8
Richardson,East Muddy,38,102,1,24,91,9
Richardson,West Muddy/Porter,49,158,5,29,163,13
Richardson,Salem,14,103,3,13,94,7
Richardson,New/Former Resident,0,1,0,,,
Richardson,Countywide,0,0,0,0,0,0
Rock,Rock,84,744,13,43,699,48
Rock,New/Former Resident,0,0,0,,,
Rock,Countywide,0,0,0,0,0,0
Saline,Crete 1,347,354,30,223,390,50
Saline,Crete 2,273,258,15,219,261,44
Saline,Crete 3,327,318,18,239,349,36
Saline,C & B,156,307,6,103,298,41
Saline,Dorchester,156,408,15,114,390,43
Saline,Friend 1,87,294,10,62,284,30
Saline,Friend 2,85,275,3,54,282,18
Saline,Wilber 1,200,449,16,133,447,47
Saline,Wilber 2,88,352,13,73,334,22
Saline,Olive,55,129,4,48,137,5
Saline,South Fork,69,174,8,48,174,23
Saline,DeWitt,139,304,15,94,329,21
Saline,New/Former Resident,4,9,0,,,
Saline,Countywide,0,0,0,0,0,0
Sarpy,Precinct 1,632,540,20,447,586,64
Sarpy,Precinct 2,449,555,30,262,590,78
Sarpy,Precinct 3,873,830,62,529,931,131
Sarpy,Precinct 4,645,700,34,364,756,119
Sarpy,Precinct 5,582,592,29,345,690,70
Sarpy,Precinct 6,712,664,52,445,739,110
Sarpy,Precinct 7,552,672,43,340,712,104
Sarpy,Precinct 8,548,703,31,334,777,73
Sarpy,Precinct 9,518,568,48,350,617,96
Sarpy,Precinct 10,388,515,45,238,563,71
Sarpy,Precinct 11,904,1124,78,508,1270,141
Sarpy,Precinct 12,806,1127,66,525,1244,97
Sarpy,Precinct 13,791,889,49,413,994,109
Sarpy,Precinct 16,759,782,48,496,838,108
Sarpy,Precinct 17,709,831,38,483,879,99
Sarpy,Precinct 18,573,571,33,406,598,67
Sarpy,Precinct 19,458,698,30,666,1613,160
Sarpy,Precinct 20,945,876,44,588,972,120
Sarpy,Precinct 21,558,873,33,497,1514,114
Sarpy,Precinct 22,784,782,68,510,894,103
Sarpy,Precinct 23,1056,1463,56,527,1683,158
Sarpy,Precinct 24,527,779,36,299,859,78
Sarpy,Precinct 25,655,687,50,433,752,104
Sarpy,Precinct 26,649,738,55,401,825,97
Sarpy,Precinct 31,1384,1583,57,702,1871,155
Sarpy,Precinct 32,571,692,35,348,741,88
Sarpy,Precinct 33,825,751,32,482,857,108
Sarpy,Precinct 34,864,872,53,556,947,131
Sarpy,Precinct 35,741,850,45,412,973,109
Sarpy,Precinct 36,591,922,24,279,1034,75
Sarpy,Precinct 37,1190,1540,69,638,1723,161
Sarpy,Precinct 38,698,787,46,362,894,105
Sarpy,Precinct 39,843,1064,43,436,1196,112
Sarpy,Precinct 40,695,886,45,390,965,118
Sarpy,Precinct 41,930,1216,46,471,1377,130
Sarpy,Precinct 42,750,879,60,414,988,113
Sarpy,Precinct 46,387,997,21,207,1014,84
Sarpy,Precinct 47,253,577,33,170,566,74
Sarpy,Precinct 48,995,1502,44,504,1718,126
Sarpy,Precinct 49,926,1149,56,509,1322,114
Sarpy,Precinct 51,1463,2264,75,768,2517,191
Sarpy,Precinct 52,1234,1637,60,705,1828,149
Sarpy,Precinct 53,1028,1176,49,620,1321,127
Sarpy,Precinct 54,967,1076,40,513,1195,151
Sarpy,Precinct 55,1127,1403,74,609,1596,166
Sarpy,Precinct 56,680,877,48,381,960,91
Sarpy,Precinct 57,832,823,60,529,926,114
Sarpy,Precinct 58,410,948,27,196,1025,67
Sarpy,Precinct 59,451,859,33,243,924,72
Sarpy,Precinct 60,482,775,30,264,821,81
Sarpy,Precinct 61,1503,2702,79,717,3013,204
Sarpy,Precinct 62,1225,1364,64,669,1555,139
Sarpy,New/Former Resident 1,2,7,0,,,
Sarpy,New/Former Resident 2,1,13,0,,,
Sarpy,Precinct 19 (CG1),664,763,42,,,
Sarpy,Precinct 21 (CG1),421,466,20,,,
Sarpy,Countywide,0,0,0,0,0,0
Saunders,Valparaiso,220,552,11,122,576,43
Saunders,Weston,96,359,12,60,351,38
Saunders,Prague,101,399,12,92,381,25
Saunders,Malmo,92,259,6,54,259,20
Saunders,Ceresco,273,685,33,147,710,66
Saunders,Wahoo Rural,100,437,7,62,423,31
Saunders,Wahoo Ward I,290,639,19,175,640,66
Saunders,Wahoo Ward II,221,557,14,132,575,40
Saunders,Wahoo Ward III,207,458,17,129,476,26
Saunders,Center,94,329,7,63,331,12
Saunders,Cedar Bluffs,199,622,19,125,607,59
Saunders,Marietta,112,347,10,61,352,29
Saunders,District 4,280,919,21,189,900,61
Saunders,Ashland Ward 1,209,413,27,116,439,59
Saunders,Ashland Ward 2,265,522,31,153,553,67
Saunders,Ashland Rural,226,623,24,132,638,44
Saunders,Yutan,344,987,26,185,999,82
Saunders,New/Former Resident,2,1,0,,,
Saunders,Countywide,0,0,0,0,0,0
Scotts Bluff,Castle Rock A,32,175,1,30,161,14
Scotts Bluff,Castle Rock B,18,105,3,14,103,9
Scotts Bluff,Dewey-Tabor,78,446,7,62,414,37
Scotts Bluff,East Winter Creek,81,287,5,54,294,20
Scotts Bluff,Fanning,77,555,12,55,539,29
Scotts Bluff,Ford A & B,50,248,3,40,237,15
Scotts Bluff,Funston,59,283,2,41,270,16
Scotts Bluff,Gering (Rural),61,372,13,50,348,32
Scotts Bluff,Gering I,362,914,17,233,923,73
Scotts Bluff,Gering II,294,647,24,230,631,62
Scotts Bluff,Gering III,188,405,21,144,404,43
Scotts Bluff,Gering IV,262,718,19,196,697,66
Scotts Bluff,Highland,38,192,1,31,172,16
Scotts Bluff,Kiowa-Lyman,49,294,5,32,278,20
Scotts Bluff,Minatare I & II,72,168,6,58,172,17
Scotts Bluff,Mitchell (Rural),43,216,4,30,212,10
Scotts Bluff,Mitchell I,83,213,9,69,207,21
Scotts Bluff,Mitchell II,83,235,6,64,235,19
Scotts Bluff,Morrill,93,311,11,66,312,28
Scotts Bluff,Roubadeau,9,58,1,6,57,6
Scotts Bluff,Scottsbluff 1,274,687,20,164,707,56
Scotts Bluff,Scottsbluff 2,351,579,22,234,606,53
Scotts Bluff,Scottsbluff 3,238,201,13,177,215,35
Scotts Bluff,Scottsbluff 4,137,105,7,114,100,19
Scotts Bluff,Scottsbluff 5,201,428,14,141,432,32
Scotts Bluff,Scottsbluff 6,204,369,15,156,362,41
Scotts Bluff,Scottsbluff 7,230,439,28,171,434,50
Scotts Bluff,Scottsbluff 8,240,509,8,165,521,45
Scotts Bluff,Terrytown I & II,104,268,16,89,258,28
Scotts Bluff,West Winter Creek,184,525,8,126,519,41
Scotts Bluff,New/Former Resident,1,0,0,,,
Scotts Bluff,Countywide,0,0,0,0,0,0
Seward,B,52,189,7,44,179,12
Seward,C,86,242,8,62,237,15
Seward,E,105,452,15,73,448,26
Seward,G,88,210,5,29,236,10
Seward,H,209,534,9,126,543,35
Seward,I,154,545,21,101,542,41
Seward,J,39,172,3,36,168,7
Seward,K,92,304,12,59,294,18
Seward,M-BX,68,291,13,37,300,15
Seward,M-CO,55,238,5,39,229,15
Seward,O-1,139,399,15,73,425,35
Seward,O-2,150,521,13,93,534,29
Seward,S-1,335,745,23,180,838,38
Seward,S-2,418,745,24,233,804,63
Seward,S-3,269,564,30,190,549,72
Seward,S-4,179,339,11,89,392,24
Seward,New/Former Resident,0,0,0,,,
Seward,Countywide,0,0,0,0,0,0
Sheridan,East Gordon,56,331,9,49,303,27
Sheridan,West Gordon,65,351,9,56,317,36
Sheridan,North Rushville,46,352,1,46,303,38
Sheridan,South Rushville,49,241,2,46,209,22
Sheridan,HaySprings,74,414,10,57,387,30
Sheridan,Mirage Flats,17,157,2,13,145,14
Sheridan,South Sheridan,21,281,6,14,240,31
Sheridan,Wounded Knee,12,163,1,9,138,11
Sheridan,(Countywide) Nebraska PPD,0,0,0,0,0,0
Sheridan,New/Former Resident,0,2,0,,,
Sheridan,Countywide,0,0,0,0,0,0
Sherman,Ashton,48,204,2,42,176,20
Sherman,Rockville,40,215,3,26,196,21
Sherman,North LC,113,226,11,76,220,30
Sherman,Central LC,45,145,4,31,141,14
Sherman,South LC,53,225,6,43,210,18
Sherman,Harrison,44,307,7,29,290,25
Sherman,New/Former Resident,0,0,0,,,
Sherman,Countywide,0,0,0,0,0,0
Sioux,Bowen,48,375,12,34,348,31
Sioux,Sheep Creek,24,267,3,18,249,16
Sioux,New/Former Resident,0,0,0,,,
Sioux,Countywide,0,0,0,0,0,0
Stanton,Butterfly,13,71,1,12,64,4
Stanton,Dewey,15,98,3,10,88,9
Stanton,Dimick,9,66,0,7,61,5
Stanton,Elkhorn,21,134,1,12,121,7
Stanton,Haymow,12,57,0,11,44,10
Stanton,Kingsburg,12,49,1,6,42,8
Stanton,Maple Creek,17,74,0,11,67,7
Stanton,Pilger,40,210,4,23,192,15
Stanton,Ramshorn,7,93,2,10,82,9
Stanton,Spring Branch,179,702,20,128,649,68
Stanton,Spr Br2,47,202,13,35,175,27
Stanton,Stanton A,60,329,15,37,287,40
Stanton,Stanton B,83,384,5,63,342,27
Stanton,Stanton C,8,42,1,4,42,3
Stanton,Union Creek,9,50,2,5,48,3
Stanton,New/Former Resident,0,0,0,,,
Stanton,Countywide,0,0,0,0,0,0
Thayer,Alex/Gilead,46,163,2,24,167,12
Thayer,Bruning/Belvidere,58,268,10,40,269,19
Thayer,Chester/Byron/Hubbell,69,366,3,43,368,13
Thayer,Davenport/Carleton,71,328,6,51,314,20
Thayer,Deshler,127,379,6,69,401,18
Thayer,Hebron North,137,404,10,77,427,23
Thayer,Hebron South,115,399,11,68,410,18
Thayer,New/Former Resident,1,1,0,,,
Thayer,Countywide,0,0,0,0,0,0
Thomas,Thomas,45,377,5,40,329,21
Thomas,New/Former Resident,0,0,0,,,
Thomas,Countywide,0,0,0,0,0,0
Thurston,Anderson/Blackbird,239,32,1,191,40,9
Thurston,Bryan,6,44,0,3,41,0
Thurston,Dawes,39,102,1,33,95,8
Thurston,Flournoy/Merry,25,142,2,20,136,4
Thurston,Omaha,186,140,6,150,149,14
Thurston,Pender,142,507,6,82,531,10
Thurston,Perry,33,89,2,23,91,6
Thurston,Thayer,8,59,1,9,58,0
Thurston,Winnebago,444,63,4,374,77,23
Thurston,New/Former Resident,0,2,0,,,
Thurston,Countywide,0,0,0,0,0,0
Valley,Precinct 1,46,300,4,39,278,15
Valley,Precinct 2,71,238,4,39,246,11
Valley,Precinct 3,74,280,5,44,280,22
Valley,Precinct 4,73,302,4,49,290,20
Valley,Precinct 5,53,263,3,41,242,18
Valley,Precinct 6,47,236,4,42,217,15
Valley,Precinct 7,48,282,3,26,268,21
Valley,New/Former Resident,0,0,0,,,
Valley,Countywide,0,0,0,0,0,0
Washington,Ft Calhoun East,300,552,23,176,565,57
Washington,Ft Calhoun West,351,772,10,173,802,59
Washington,Kennard,184,651,13,111,643,59
Washington,Lakeland,457,1048,31,257,1090,84
Washington,Skyline,280,509,22,141,545,59
Washington,Central,270,540,30,165,558,64
Washington,Dana,288,565,27,162,603,55
Washington,Washington,119,375,9,70,380,21
Washington,Herman,96,332,11,55,336,19
Washington,Cuming City,124,374,5,76,353,35
Washington,Desoto,186,446,13,94,450,47
Washington,Fontanelle,119,531,15,62,532,38
Washington,Arlington,259,771,26,133,802,50
Washington,Arbor,226,494,16,121,516,54
Washington,Northview,295,618,25,185,633,60
Washington,New/Former Resident,0,5,0,,,
Washington,Countywide,0,0,0,0,0,0
Wayne,Hoskins/Garfield,37,408,5,29,357,41
Wayne,Chapin/Hancock/Winside,56,390,6,38,352,26
Wayne,Deer Creek/Sherman,30,234,12,25,229,15
Wayne,Brenna/Plum Creek/Hunter,71,307,10,41,287,33
Wayne,Strahan/Wilbur,35,260,9,16,247,15
Wayne,Logan/Leslie,64,211,6,46,205,22
Wayne,First Ward,171,298,22,108,311,36
Wayne,Second Ward,132,273,10,75,308,12
Wayne,Third Ward,196,263,12,116,282,28
Wayne,Fourth Ward,230,411,31,144,422,48
Wayne,New/Former Resident,0,0,0,,,
Wayne,(Countywide) Cuming PPD,0,0,0,0,0,0
Wayne,(Countywide) Stanton County PPD,0,0,0,0,0,0
Wayne,Countywide,0,0,0,0,0,0
Webster,Bladen,39,198,4,24,200,11
Webster,Blue Hill,115,447,13,78,419,31
Webster,Guide Rock,28,231,2,22,211,9
Webster,Red Cloud 1st,65,255,3,44,250,19
Webster,Red Cloud 2nd,87,374,8,62,363,19
Webster,New/Former Resident,1,6,0,,,
Webster,Countywide,0,0,0,0,0,0
Wheeler,Bartlett,38,305,3,37,259,26
Wheeler,Ericson,21,133,2,12,128,10
Wheeler,New/Former Resident,0,0,0,,,
Wheeler,Countywide,0,0,0,0,0,0
York,Stewart-Thayer,76,285,5,53,274,21
York,New York-Waco-Beaver-West Blue,105,487,11,68,487,25
York,Hays-McFadden,83,381,6,60,347,30
York,LeRoy-Baker,49,260,11,41,256,16
York,MABL,128,540,9,90,525,25
York,Brown-Henderson,165,753,5,98,742,45
York,Ward 1,143,445,21,71,481,28
York,Ward 2A,162,413,18,115,425,35
York,Ward 2B,155,407,25,100,421,38
York,Ward 3,154,317,13,81,355,29
York,Ward 4A,215,566,27,123,606,45
York,Ward 4B,195,479,25,117,487,42
York,New/Former Resident,0,4,0,,,
York,Countywide,0,0,0,0,0,0
